CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBAJAJFINSV30-JAN-2025,1615.2000000,1614.0500000,1628.0000000,1608.7500000,1619.0500000,1619.0500000,0.2300000,445.0000000,95500.0000000,191.0000000,154762500.0000000
FUTSTKNATIONALUM30-JAN-2025,246.6300000,245.8700000,246.0500000,241.9000000,244.1900000,244.1900000,-0.9800000,177.0000000,412500.0000000,110.0000000,100669500.0000000
FUTSTKPFC28-NOV-2024,484.1000000,487.1500000,495.4500000,481.1500000,491.6500000,491.6500000,1.5500000,7330.0000000,23506600.0000000,18082.0000000,11536504655.0000000
FUTSTKFEDERALBNK30-JAN-2025,215.6300000,215.0000000,216.3300000,213.5000000,214.6300000,214.6300000,-0.4600000,220.0000000,685000.0000000,137.0000000,147138300.0000000
FUTSTKSBIN30-JAN-2025,849.0500000,844.5000000,852.8000000,842.3000000,845.1500000,845.1500000,-0.4500000,2316.0000000,741750.0000000,989.0000000,628692000.0000000
FUTSTKBANKBARODA28-NOV-2024,247.4000000,247.4000000,249.4000000,244.3000000,246.5000000,246.5000000,-0.3600000,12371.0000000,55159650.0000000,18858.0000000,13620187766.2500000
FUTSTKIPCALAB30-JAN-2025,1573.0000000,1573.0000000,1573.0000000,1534.0000000,1542.1000000,1542.1000000,-1.9600000,33.0000000,15600.0000000,24.0000000,24099530.0000000
FUTSTKIOC28-NOV-2024,136.7500000,137.7500000,139.6000000,135.4200000,139.1300000,139.1300000,1.7400000,6540.0000000,54146625.0000000,11107.0000000,7413855003.7500000
FUTSTKDLF26-DEC-2024,831.0500000,828.8000000,833.2500000,821.7500000,828.9000000,828.9000000,-0.2500000,45905.0000000,12270225.0000000,14873.0000000,10151330970.0000000
FUTSTKSHRIRAMFIN28-NOV-2024,3039.8000000,3025.4000000,3062.4000000,3006.3500000,3018.1500000,3018.1500000,-0.7100000,6799.0000000,2615400.0000000,17436.0000000,7911258472.5000000
FUTSTKUNITDSPR30-JAN-2025,1529.4500000,1527.7500000,1545.0000000,1519.9500000,1535.9000000,1535.9000000,0.4200000,209.0000000,48300.0000000,138.0000000,73794000.0000000
FUTSTKIRCTC30-JAN-2025,826.9000000,826.0000000,839.1000000,822.7500000,832.3500000,832.3500000,0.6500000,527.0000000,208250.0000000,238.0000000,173503181.2500000
FUTSTKTATACHEM28-NOV-2024,1096.4500000,1103.3000000,1116.6000000,1086.2000000,1108.0000000,1108.0000000,1.0500000,3104.0000000,2611950.0000000,4749.0000000,2880582842.5000000
FUTSTKCUMMINSIND30-JAN-2025,3500.9500000,3470.1500000,3536.5500000,3462.0000000,3535.2000000,3535.2000000,0.9700000,128.0000000,12150.0000000,81.0000000,42694027.5000000
FUTSTKESCORTS30-JAN-2025,3632.7500000,3639.5000000,3658.0000000,3632.7500000,3635.0000000,3643.4500000,0.2900000,33.0000000,3300.0000000,22.0000000,12014332.5000000
FUTSTKIOC30-JAN-2025,138.3800000,138.7500000,141.2300000,137.1000000,140.7300000,140.7300000,1.6900000,788.0000000,2325375.0000000,477.0000000,322548866.2500000
FUTSTKLTTS30-JAN-2025,5545.0000000,5500.0000000,5520.2500000,5480.2500000,5481.8000000,5481.8000000,-1.1300000,92.0000000,3300.0000000,33.0000000,18165835.0000000
FUTSTKAARTIIND30-JAN-2025,456.8000000,456.8000000,463.3000000,453.8000000,458.4000000,458.4000000,0.3500000,624.0000000,483000.0000000,483.0000000,221058950.0000000
FUTSTKBRITANNIA30-JAN-2025,5069.9500000,5036.6000000,5050.2000000,5003.0500000,5031.6000000,5031.6000000,-0.7500000,459.0000000,13500.0000000,135.0000000,67872685.0000000
FUTSTKLICHSGFIN30-JAN-2025,629.4500000,628.0500000,637.3500000,627.0500000,635.5500000,635.5500000,0.9600000,160.0000000,80000.0000000,80.0000000,50773550.0000000
FUTSTKSHRIRAMFIN30-JAN-2025,3068.3500000,3091.3000000,3091.3000000,3040.4500000,3052.6000000,3052.6000000,-0.5100000,316.0000000,31050.0000000,207.0000000,94893885.0000000
FUTSTKDALBHARAT28-NOV-2024,1825.5500000,1821.3000000,1851.8500000,1803.1000000,1841.0500000,1841.0500000,0.8400000,1645.0000000,1220725.0000000,4439.0000000,2230048590.0000000
FUTSTKHDFCAMC28-NOV-2024,4246.8000000,4237.3500000,4264.8500000,4210.0000000,4246.7000000,4246.7000000,0.0000000,4377.0000000,1095900.0000000,7306.0000000,4648565115.0000000
FUTSTKTVSMOTOR26-DEC-2024,2439.4000000,2439.5500000,2456.0500000,2421.8500000,2449.4000000,2449.4000000,0.4000000,20459.0000000,2963800.0000000,8468.0000000,7238245910.0000000
FUTSTKAPOLLOHOSP30-JAN-2025,7170.9500000,7115.0000000,7150.0000000,7067.9500000,7073.5000000,7073.5000000,-1.3500000,130.0000000,11750.0000000,94.0000000,83371237.5000000
FUTSTKHEROMOTOCO26-DEC-2024,4859.2500000,4846.2000000,4920.9500000,4831.0000000,4899.8000000,4899.8000000,0.8300000,23446.0000000,1249650.0000000,8331.0000000,6103766497.5000000
FUTSTKSHREECEM26-DEC-2024,24805.1000000,24999.0000000,25310.0000000,24602.6000000,25206.4000000,25206.4000000,1.6100000,10473.0000000,144675.0000000,5787.0000000,3602057180.0000000
FUTSTKSBILIFE26-DEC-2024,1514.3500000,1519.0000000,1522.7000000,1503.9000000,1511.8000000,1511.8000000,-0.1600000,24021.0000000,3628500.0000000,9676.0000000,5483477193.7500000
FUTSTKMUTHOOTFIN26-DEC-2024,1962.4000000,1964.8500000,1968.6000000,1928.3500000,1947.1500000,1947.1500000,-0.7700000,15690.0000000,1452825.0000000,5283.0000000,2821793287.5000000
FUTSTKTATASTEEL30-JAN-2025,146.2100000,145.5600000,146.7200000,144.6300000,146.3800000,146.3800000,0.1100000,2323.0000000,2711500.0000000,493.0000000,394971610.0000000
FUTSTKGAIL28-NOV-2024,194.2200000,194.2200000,195.7400000,192.5200000,195.0300000,195.0300000,0.4100000,7140.0000000,37322850.0000000,8158.0000000,7262728823.2500000
FUTSTKLUPIN30-JAN-2025,2063.5000000,2050.0000000,2065.4000000,2027.0000000,2034.8000000,2034.8000000,-1.3900000,252.0000000,53125.0000000,125.0000000,108388621.2500000
FUTSTKGUJGASLTD28-NOV-2024,474.3500000,472.9500000,475.6500000,468.8500000,472.9000000,472.9000000,-0.3000000,1973.0000000,2748750.0000000,2199.0000000,1296849625.0000000
FUTSTKDABUR28-NOV-2024,525.7500000,523.4000000,528.7000000,521.0000000,526.9500000,526.9500000,0.2200000,4741.0000000,5193750.0000000,4155.0000000,2725906375.0000000
FUTSTKCIPLA30-JAN-2025,1510.6000000,1490.0000000,1509.9500000,1486.8500000,1507.0500000,1507.0500000,-0.2300000,185.0000000,45825.0000000,141.0000000,68717821.2500000
FUTSTKBRITANNIA28-NOV-2024,5007.9500000,5038.1000000,5038.1000000,4942.5500000,4973.9000000,4973.9000000,-0.6700000,8004.0000000,748200.0000000,7482.0000000,3716086505.0000000
FUTSTKTATACONSUM28-NOV-2024,965.0500000,960.2500000,964.5000000,953.7500000,961.2500000,961.2500000,-0.3900000,6356.0000000,3316032.0000000,7272.0000000,3179537474.4000000
FUTSTKABB28-NOV-2024,7336.5500000,7343.3000000,7530.5500000,7318.1000000,7488.0000000,7488.0000000,2.0600000,3212.0000000,759625.0000000,6077.0000000,5655592756.2500000
FUTSTKTVSMOTOR30-JAN-2025,2452.5000000,2447.0500000,2466.0000000,2442.0000000,2462.9000000,2469.7000000,0.7000000,60.0000000,7700.0000000,22.0000000,18923590.0000000
FUTSTKDIXON28-NOV-2024,15514.7500000,15587.2500000,15720.0000000,15357.1500000,15637.9500000,15637.9500000,0.7900000,7117.0000000,565700.0000000,11314.0000000,8812736512.5000000
FUTSTKICICIBANK30-JAN-2025,1321.4500000,1320.3000000,1324.8000000,1314.7000000,1318.1000000,1318.1000000,-0.2500000,1467.0000000,746200.0000000,1066.0000000,984885370.0000000
FUTSTKSBIN28-NOV-2024,840.5000000,837.6000000,843.5000000,832.6000000,835.7000000,835.7000000,-0.5700000,41029.0000000,36909750.0000000,49213.0000000,30911856712.5000000
FUTSTKBAJFINANCE30-JAN-2025,6704.4500000,6730.0000000,6818.9500000,6705.0000000,6785.3500000,6785.3500000,1.2000000,1156.0000000,68000.0000000,544.0000000,461060256.2500000
FUTSTKCONCOR30-JAN-2025,810.1500000,810.9000000,823.0000000,809.5500000,819.4000000,819.4000000,1.1400000,498.0000000,245000.0000000,245.0000000,200860900.0000000
